"STATION","NAME","DATE","DP01","DP10","DT32","DX32","DX70","DX90","PRCP","SNOW","TMAX","TMIN"
"USC00119816","YATES CITY, IL US","1997-09","9","6",,,,,"101.0","0",,
"USC00119816","YATES CITY, IL US","1997-10","5","5",,,,,"44.2","38",,
"USC00119816","YATES CITY, IL US","1997-11","7","4",,,,,"66.9","38",,
"USC00119816","YATES CITY, IL US","1997-12","7","4",,,,,"32.0","198",,
"USC00119816","YATES CITY, IL US","1998-01","10","7",,,,,"73.9","191",,
"USC00119816","YATES CITY, IL US","1998-02","8","6",,,,,"63.2","0",,
"USC00119816","YATES CITY, IL US","1998-03","11","7",,,,,"117.6","89",,
"USC00119816","YATES CITY, IL US","1998-04","14","8",,,,,"79.9","0",,
"USC00119816","YATES CITY, IL US","1998-05","14","12",,,,,"142.4","0",,
"USC00119816","YATES CITY, IL US","1998-06","16","11",,,,,"170.2","0",,
"USC00119816","YATES CITY, IL US","1998-07","5","3",,,,,"37.6","0",,
"USC00119816","YATES CITY, IL US","1998-08","9","6",,,,,"97.3","0",,
"USC00119816","YATES CITY, IL US","1998-09","10","6",,,,,"79.5","0",,
"USC00119816","YATES CITY, IL US","1998-10","10","7",,,,,"122.2","0",,
"USC00119816","YATES CITY, IL US","1998-11","8","4",,,,,"35.9","38",,
"USC00119816","YATES CITY, IL US","1998-12","7","3",,,,,"34.7","102",,
"USC00119816","YATES CITY, IL US","1999-01","15","10",,,,,"114.0","513",,
"USC00119816","YATES CITY, IL US","1999-02","8","2",,,,,"55.4","63",,
"USC00119816","YATES CITY, IL US","1999-03","5","2",,,,,"30.5","114",,
"USC00119816","YATES CITY, IL US","1999-04","11","10",,,,,"116.8","0",,
"USC00119816","YATES CITY, IL US","1999-05","12","9",,,,,"112.4","0",,
"USC00119816","YATES CITY, IL US","1999-06","9","6",,,,,"120.6","0",,
"USC00119816","YATES CITY, IL US","1999-07","7","4",,,,,"148.5","0",,
"USC00119816","YATES CITY, IL US","1999-08","8","5",,,,,"119.7","0",,
"USC00119816","YATES CITY, IL US","1999-09","6","4",,,,,"81.9","0",,
"USC00119816","YATES CITY, IL US","1999-10","5","3",,,,,"27.2","0",,
"USC00119816","YATES CITY, IL US","1999-11","3","1",,,,,"5.9","0",,
"USC00119816","YATES CITY, IL US","1999-12","11","3",,,,,"63.6","93",,
"USC00119816","YATES CITY, IL US","2000-01","6","4",,,,,"26.4","203",,
"USC00119816","YATES CITY, IL US","2000-02","7","4",,,,,"55.4","38",,
"USC00119816","YATES CITY, IL US","2000-03","8","5",,,,,"46.9","0",,
"USC00119816","YATES CITY, IL US","2000-04","8","8",,,,,"55.7","25",,
"USC00119816","YATES CITY, IL US","2000-05","14","8",,,,,"124.3","0",,
"USC00119816","YATES CITY, IL US","2000-06","15","12",,,,,"152.7","0",,
"USC00119816","YATES CITY, IL US","2000-07","10","5",,,,,"64.5","0",,
"USC00119816","YATES CITY, IL US","2000-08","12","6",,,,,"70.3","0",,
"USC00119816","YATES CITY, IL US","2000-09","6","6",,,,,"128.5","0",,
"USC00119816","YATES CITY, IL US","2000-10","11","4",,,,,"24.3","0",,
"USC00119816","YATES CITY, IL US","2000-11","6","4",,,,,"59.6","0",,
"USC00119816","YATES CITY, IL US","2000-12","9","5",,,,,"48.0","584",,
"USC00119816","YATES CITY, IL US","2001-01","9","5",,,,,"66.6","25",,
"USC00119816","YATES CITY, IL US","2001-02","11","6",,,,,"97.1","114",,
"USC00119816","YATES CITY, IL US","2001-03","6","4",,,,,"33.6","51",,
"USC00119816","YATES CITY, IL US","2001-04","13","8",,,,,"69.8","0",,
"USC00119816","YATES CITY, IL US","2001-05","16","10",,,,,"129.0","0",,
"USC00119816","YATES CITY, IL US","2001-06","9","6",,,,,"123.0","0",,
"USC00119816","YATES CITY, IL US","2001-07","10","5",,,,,"55.4","0",,
"USC00119816","YATES CITY, IL US","2001-08","10","5",,,,,"90.0","0",,
"USC00119816","YATES CITY, IL US","2001-09","10","5",,,,,"144.0","0",,
"USC00119816","YATES CITY, IL US","2001-10","9","8",,,,,"118.4","0",,
"USC00119816","YATES CITY, IL US","2001-11","5","4",,,,,"35.3","0",,
"USC00119816","YATES CITY, IL US","2001-12","8","3",,,,,"23.5","13",,
"USC00119816","YATES CITY, IL US","2002-01","5","2",,,,,"62.6","236",,
"USC00119816","YATES CITY, IL US","2002-02","5","4",,,,,"25.1","0",,
"USC00119816","YATES CITY, IL US","2002-03","11","6",,,,,"43.8","280",,
"USC00119816","YATES CITY, IL US","2002-04","11","8",,,,,"119.2","0",,
"USC00119816","YATES CITY, IL US","2002-05","15","11",,,,,"168.0","0",,
"USC00119816","YATES CITY, IL US","2002-06","8","5",,,,,"88.1","0",,
"USC00119816","YATES CITY, IL US","2002-07","10","9",,,,,"122.3","0",,
"USC00119816","YATES CITY, IL US","2002-08","7","5",,,,,"118.4","0",,
"USC00119816","YATES CITY, IL US","2002-09","5","2",,,,,"20.1","0",,
"USC00119816","YATES CITY, IL US","2002-10","14","8",,,,,"45.7","0",,
"USC00119816","YATES CITY, IL US","2002-11","5","1",,,,,"9.3","0",,
"USC00119816","YATES CITY, IL US","2002-12","3","3",,,,,"36.1","51",,
"USC00119816","YATES CITY, IL US","2003-01","7","1",,,,,"10.7","75",,
"USC00119816","YATES CITY, IL US","2003-02","6","1",,,,,"20.1","139",,
"USC00119816","YATES CITY, IL US","2003-03","7","5",,,,,"50.1","51",,
"USC00119816","YATES CITY, IL US","2003-04","11","6",,,,,"70.3","0",,
"USC00119816","YATES CITY, IL US","2003-05","12","5",,,,,"78.5","0",,
"USC00119816","YATES CITY, IL US","2003-06","11","7",,,,,"92.2","0",,
"USC00119816","YATES CITY, IL US","2003-07","9","5",,,,,"127.4","0",,
"USC00119816","YATES CITY, IL US","2003-08","7","3",,,,,"46.2","0",,
"USC00119816","YATES CITY, IL US","2003-09","10","5",,,,,"96.6","0",,
"USC00119816","YATES CITY, IL US","2003-10","7","3",,,,,"59.7","0",,
"USC00119816","YATES CITY, IL US","2003-11","10","4",,,,,"74.8","0",,
"USC00119816","YATES CITY, IL US","2003-12","7","4",,,,,"80.9","114",,
"USC00119816","YATES CITY, IL US","2004-01","6","2",,,,,"13.8","127",,
"USC00119816","YATES CITY, IL US","2004-02","5","2",,,,,"14.5","75",,
"USC00119816","YATES CITY, IL US","2004-03","10","7",,,,,"78.6","64",,
"USC00119816","YATES CITY, IL US","2004-04","3","2",,,,,"30.3","0",,
"USC00119816","YATES CITY, IL US","2004-05","14","9",,,,,"140.7","0",,
"USC00119816","YATES CITY, IL US","2004-06","10","6",,,,,"66.5","0",,
"USC00119816","YATES CITY, IL US","2004-07","10","7",,,,,"111.3","0",,
"USC00119816","YATES CITY, IL US","2004-08","11","9",,,,,"139.8","0",,
"USC00119816","YATES CITY, IL US","2004-09","2","1",,,,,"22.1","0",,
"USC00119816","YATES CITY, IL US","2004-10","14","8",,,,,"128.6","0",,
"USC00119816","YATES CITY, IL US","2004-11","13","9",,,,,"107.8","114",,
"USC00119816","YATES CITY, IL US","2004-12","6","3",,,,,"37.3","51",,
"USC00119816","YATES CITY, IL US","2005-01","14","10",,,,,"115.1","152",,
"USC00119816","YATES CITY, IL US","2005-02","10","5",,,,,"33.4","50",,
"USC00119816","YATES CITY, IL US","2005-03","5","2",,,,,"31.1","76",,
"USC00119816","YATES CITY, IL US","2005-04","8","4",,,,,"66.3","0",,
"USC00119816","YATES CITY, IL US","2005-05","6","3",,,,,"21.6","0",,
"USC00119816","YATES CITY, IL US","2005-06","4","2",,,,,"19.8","0",,
"USC00119816","YATES CITY, IL US","2005-07","6","5",,,,,"71.6","0",,
"USC00119816","YATES CITY, IL US","2005-08","5","4",,,,,"41.3","0",,
"USC00119816","YATES CITY, IL US","2005-09","8","7",,,,,"110.3","0",,
"USC00119816","YATES CITY, IL US","2005-10","6","3",,,,,"35.5","0",,
"USC00119816","YATES CITY, IL US","2005-11","6","5",,,,,"50.6","0",,
"USC00119816","YATES CITY, IL US","2005-12","8","4",,,,,"19.7","241",,
"USC00119816","YATES CITY, IL US","2006-01","8","5",,,,,"70.8","76",,
"USC00119816","YATES CITY, IL US","2006-02","3","2",,,,,"16.2","0",,
"USC00119816","YATES CITY, IL US","2006-03","10","7",,,,,"47.1","101",,
"USC00119816","YATES CITY, IL US","2006-04","12","8",,,,,"98.3","0",,
"USC00119816","YATES CITY, IL US","2006-05","14","5",,,,,"56.9","0",,
"USC00119816","YATES CITY, IL US","2006-06","10","9",,,,,"86.8","0",,
"USC00119816","YATES CITY, IL US","2006-07","11","7",,,,,"81.0","0",,
"USC00119816","YATES CITY, IL US","2006-08","13","9",,,,,"80.8","0",,
"USC00119816","YATES CITY, IL US","2006-09","10","4",,,,,"101.5","0",,
"USC00119816","YATES CITY, IL US","2006-10","8","4",,,,,"46.5","0",,
"USC00119816","YATES CITY, IL US","2006-11","7","2",,,,,"68.2","0",,
"USC00119816","YATES CITY, IL US","2006-12","6","3",,,,,"63.1","308",,
"USC00119816","YATES CITY, IL US","2007-01","8","6",,,,,"57.8","139",,
"USC00119816","YATES CITY, IL US","2007-02","7","5",,,,,"46.2","312",,
"USC00119816","YATES CITY, IL US","2007-03","15","11",,,,,"153.7","0",,
"USC00119816","YATES CITY, IL US","2007-04","10","6",,,,,"108.6","25",,
"USC00119816","YATES CITY, IL US","2007-05","9","5",,,,,"45.8","0",,
"USC00119816","YATES CITY, IL US","2007-06","7","4",,,,,"78.4","0",,
"USC00119816","YATES CITY, IL US","2007-07","8","7",,,,,"106.1","0",,
"USC00119816","YATES CITY, IL US","2007-08","13","9",,,,,"123.3","0",,
"USC00119816","YATES CITY, IL US","2007-09","5","3",,,,,"21.9","0",,
"USC00119816","YATES CITY, IL US","2007-10","6","4",,,,,"53.4","0",,
"USC00119816","YATES CITY, IL US","2007-11","6","3",,,,,"33.1","0",,
"USC00119816","YATES CITY, IL US","2007-12","16","6",,,,,"71.2","240",,
"USC00119816","YATES CITY, IL US","2008-02","10","6",,,,,"95.8","393",,
"USC00119816","YATES CITY, IL US","2008-03","7","3",,,,,"55.7","13",,
